,eventType,Miss Scarlet,Mr. Green,Mrs White,Mrs Peacock,Colonel Mustard,Professor Plum,Miss Peach,Sgt. Gray,Monsieur Brunette,Mme. Rose,Candlestick,Knife,Lead Pipe,Revolver,Rope,Wrench,Horseshoe,Poison,Carriage House,Conservatory,Kitchen,Trophy Room,Dining Room,Drawing Room,Gazebo,Courtyard,Fountain,Library,Billiard Room,Studio
0,init,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
1,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
2,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
3,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
4,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
5,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
6,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
7,magnifier,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
8,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
9,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
10,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
11,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
12,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
13,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
14,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
15,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
16,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
17,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
18,magnifier,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
19,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
20,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
21,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
22,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
23,selfTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
24,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
25,otherTurn,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
26,magnifier,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,2.5,2.5
