,eventType,Miss Scarlet,Mr. Green,Mrs White,Mrs Peacock,Colonel Mustard,Professor Plum,Miss Peach,Sgt. Gray,Monsieur Brunette,Mme. Rose,Candlestick,Knife,Lead Pipe,Revolver,Rope,Wrench,Horseshoe,Poison,Carriage House,Conservatory,Kitchen,Trophy Room,Dining Room,Drawing Room,Gazebo,Courtyard,Fountain,Library,Billiard Room,Studio
0,init,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0,0.30434782608695654
1,otherTurn,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.0,0,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0,0.30434782608695654
2,otherTurn,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.3333333333333333,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.3333333333333333,0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0.0,0,0.30434782608695654,0.30434782608695654,0,0.30434782608695654,0.30434782608695654,0,0.3333333333333333
3,selfTurn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
4,otherTurn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
5,otherTurn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
6,otherTurn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
7,magnifier,0.3,0.3,0.3,0.3,0.3,0.0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0,0.3,0.3,0.3,0,2.0,0.3,0.0,0,0.3,0.3,0,0.3,0.3,0,0.3
8,selfTurn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,2.0,0.0,0.0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
9,otherTurn,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.0,0,0.35294117647058826,0.0,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.0,0,0.0,0.35294117647058826,0.35294117647058826,0,2.0,0.0,0.0,0,0.35294117647058826,0.35294117647058826,0,0.35294117647058826,0.35294117647058826,0,0.35294117647058826
