,eventType,Miss Scarlet,Mr. Green,Mrs White,Mrs Peacock,Colonel Mustard,Professor Plum,Miss Peach,Sgt. Gray,Monsieur Brunette,Mme. Rose,Candlestick,Knife,Lead Pipe,Revolver,Rope,Wrench,Horseshoe,Poison,Carriage House,Conservatory,Kitchen,Trophy Room,Dining Room,Drawing Room,Gazebo,Courtyard,Fountain,Library,Billiard Room,Studio
0,init,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
1,otherTurn,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
2,otherTurn,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
3,selfTurn,0.125,0.125,0.125,0.125,0.125,0.0,0,0.125,0.125,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
4,otherTurn,0.125,0.125,0.125,0.125,0.125,0.0,0,0.125,0.125,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
5,otherTurn,0.125,0.125,0.125,0.125,0.125,0.0,0,0.125,0.125,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7519296364125923,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.3333333333333333,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
6,otherTurn,0.125,0.125,0.125,0.125,0.125,0.0,0,0.125,0.3333333333333333,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.1003232125243336,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.3333333333333333,0.14285714285714285,0.5,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0
7,magnifier,0.125,0.125,0.125,0.125,0.125,0.0,0,0.125,0.3333333333333333,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.1003232125243336,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.0,0.16666666666666666,0.5,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0
8,selfTurn,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.561410426811387,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.0,0.5,0.5,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0
9,otherTurn,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.561410426811387,0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0,0.0,0.5,0.5,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0
